Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,0.647700,0.649700,0.647700,0.649700,0.649700,1170
2018-07-13,0.680000,0.680000,0.632400,0.660000,0.660000,15600
2018-07-16,0.643200,0.643200,0.626400,0.626400,0.626400,5477
2018-07-17,0.617000,0.632200,0.608700,0.623500,0.623500,2535
2018-07-18,0.606600,0.606600,0.599300,0.599300,0.599300,2695
2018-07-19,0.599500,0.599500,0.598300,0.598300,0.598300,14004
2018-07-20,0.611200,0.611700,0.611100,0.611400,0.611400,27375
2018-07-23,0.611200,0.850000,0.609800,0.627900,0.627900,4695
2018-07-24,0.625500,0.628000,0.609800,0.625000,0.625000,84228
2018-07-25,0.629000,0.629000,0.619300,0.620900,0.620900,1023
2018-07-26,0.615900,0.616500,0.614500,0.614700,0.614700,41700
2018-07-27,0.618280,0.620000,0.618280,0.620000,0.620000,3400
2018-07-30,0.619220,0.619220,0.587500,0.587500,0.587500,3750
2018-07-31,0.585000,0.660000,0.575000,0.575000,0.575000,21650
2018-08-01,0.610000,0.610000,0.575000,0.575000,0.575000,1130
2018-08-02,0.589350,0.589350,0.550000,0.550000,0.550000,2750
2018-08-03,0.578400,0.614000,0.575000,0.606550,0.606550,98134
2018-08-06,0.710000,1.000000,0.650000,0.790000,0.790000,42750
2018-08-07,0.610300,1.000000,0.600000,0.620000,0.620000,89788
2018-08-08,0.616000,0.650000,0.541000,0.550000,0.550000,40648
2018-08-09,0.556900,0.640000,0.541300,0.595000,0.595000,30953
2018-08-10,0.600000,0.605400,0.576000,0.576000,0.576000,12513
2018-08-13,0.550000,0.599900,0.538100,0.567300,0.567300,13279
2018-08-14,0.550000,0.640000,0.501500,0.620000,0.620000,19261
2018-08-15,0.640000,0.650000,0.549100,0.574900,0.574900,14053
2018-08-16,0.600000,0.600000,0.543400,0.545130,0.545130,28415
2018-08-17,0.582900,0.600000,0.568000,0.600000,0.600000,12449
2018-08-20,0.606500,0.699900,0.556600,0.606500,0.606500,74102
2018-08-21,0.600000,2.000000,0.557500,1.890000,1.890000,64296
2018-08-22,1.695000,1.695000,0.575000,0.601700,0.601700,31785
2018-08-23,0.607300,0.607300,0.599200,0.600000,0.600000,28385
2018-08-24,0.600000,0.604900,0.594600,0.603900,0.603900,6747
2018-08-27,0.615000,0.916360,0.593600,0.844000,0.844000,53096
2018-08-28,0.781000,0.802900,0.771700,0.802900,0.802900,35445
2018-08-29,0.988000,1.260000,0.920000,0.999000,0.999000,159603
2018-08-30,0.983000,1.100000,0.983000,1.035700,1.035700,96894
2018-08-31,1.080600,1.300000,1.044600,1.124600,1.124600,217162
2018-09-04,1.179000,1.300000,1.110000,1.149900,1.149900,108790
2018-09-05,1.188310,1.300000,1.118900,1.148800,1.148800,123229
2018-09-06,1.200000,1.200000,1.150000,1.200000,1.200000,52456
2018-09-07,1.204780,1.304300,1.145000,1.240000,1.240000,73136
2018-09-10,1.237800,1.530000,1.230000,1.415600,1.415600,202440
2018-09-11,1.420000,1.490000,1.370000,1.406400,1.406400,171101
2018-09-12,1.450000,1.469000,1.373100,1.387500,1.387500,116713
2018-09-13,1.400000,1.420000,1.226700,1.400000,1.400000,349686
2018-09-14,1.350000,1.410000,1.250000,1.350000,1.350000,264312
2018-09-17,1.417000,1.417000,1.350000,1.390000,1.390000,147827
2018-09-18,1.464000,1.774600,1.460000,1.708000,1.708000,480454
2018-09-19,2.060000,2.240000,1.730000,1.890000,1.890000,360781
2018-09-20,1.947900,2.100000,1.825900,1.881500,1.881500,331287
2018-09-21,1.910000,2.015500,1.830000,2.000000,2.000000,208208
2018-09-24,2.150000,2.220000,2.050000,2.100000,2.100000,412073
2018-09-25,2.140000,2.270000,2.094030,2.220000,2.220000,428002
2018-09-26,2.330000,2.380000,2.194600,2.256100,2.256100,342530
2018-09-27,2.280000,2.280000,1.992500,2.150000,2.150000,212712
2018-09-28,2.220100,2.246570,1.900000,1.940000,1.940000,155062
2018-10-01,2.120000,2.290000,2.087400,2.104200,2.104200,424927
2018-10-02,2.150000,2.233800,1.870000,1.934000,1.934000,432441
2018-10-03,1.980000,2.079900,1.796300,2.030000,2.030000,241297
2018-10-04,2.040900,2.124300,1.980000,2.090000,2.090000,162374
2018-10-05,2.178000,2.230000,1.996200,2.018000,2.018000,164728
2018-10-08,2.010000,2.190000,2.009900,2.190000,2.190000,163768
2018-10-09,2.060000,2.259200,1.973810,2.200000,2.200000,251750
2018-10-10,2.173100,2.250000,2.010000,2.050000,2.050000,209330
2018-10-11,2.120000,2.120000,2.000000,2.070000,2.070000,156176
2018-10-12,2.070000,2.104600,2.016600,2.030000,2.030000,114548
2018-10-15,2.060000,2.085100,2.000000,2.011700,2.011700,201982
2018-10-16,2.040000,2.070000,1.982500,2.062200,2.062200,200655
2018-10-17,2.020000,2.080000,1.979900,2.030000,2.030000,168479
2018-10-18,2.000000,2.110000,2.000000,2.022560,2.022560,127428
2018-10-19,2.040000,2.059000,1.809000,1.910000,1.910000,201833
